date,rate
1694-10-01,6
1695-01-01,4.5
1695-05-01,3
1699-06-01,4.5
1716-07-01,4
1719-04-01,5
1822-06-01,4
1825-12-01,5
1827-07-01,4
1836-07-01,4.5
1836-09-01,5
1838-02-01,4
1839-05-01,5
1839-06-01,5.5
1839-08-01,6
1840-01-01,5
1842-04-01,4
1844-09-07,2.5
1845-10-16,3
1845-11-06,3.5
1846-08-27,3
1847-01-14,3.5
1847-01-21,4
1847-04-08,5
1847-08-05,5.5
1847-09-30,6
1847-10-25,8
1847-11-22,7
1847-12-02,6
1847-12-23,5
1848-01-27,4
1848-06-15,3.5
1848-11-02,3
1849-11-22,2.5
1850-12-26,3
1852-01-01,2.5
1852-04-22,2
1853-01-06,2.5
1853-01-20,3
1853-06-02,3.5
1853-09-01,4
1853-09-15,4.5
1853-09-29,5
1854-05-11,5.5
1854-08-03,4
1855-04-05,4.5
1855-05-03,4
1855-06-14,3.5
1855-09-06,4
1855-09-13,4.5
1855-09-27,5
1855-10-04,5.5
1855-10-18,7
1856-05-22,6
1856-05-29,5
1856-06-26,4.5
1856-10-02,5
1856-10-29,7
1856-11-15,7
1856-12-04,6.5
1856-12-18,6
1857-04-02,6.5
1857-06-18,6
1857-07-16,5.5
1857-10-08,6
1857-10-15,7
1857-10-19,8
1857-11-05,9
1857-11-12,10
1857-12-24,8
1858-01-07,6
1858-01-11,5
1858-01-28,4
1858-02-04,3.5
1858-02-11,3
1858-12-09,2.5
1859-04-28,3.5
1859-05-05,4.5
1859-06-02,3.5
1859-06-09,3
1859-07-14,2.5
1860-01-19,3
1860-01-31,4
1860-03-29,4.5
1860-04-12,5
1860-05-10,4.5
1860-05-24,4
1860-11-08,4.5
1860-11-13,5
1860-11-15,6
1860-11-29,5
1860-12-31,6
1861-01-07,7
1861-02-14,8
1861-03-21,7
1861-04-04,6
1861-04-11,5
1861-05-16,6
1861-08-01,5
1861-08-15,4.5
1861-08-29,4
1861-09-19,3.5
1861-11-07,3
1862-01-09,2.5
1862-05-22,3
1862-07-10,2.5
1862-07-24,2
1862-10-30,3
1863-01-15,4
1863-01-28,5
1863-02-19,4
1863-04-23,3.5
1863-04-30,3
1863-05-16,3.5
1863-05-21,4
1863-11-02,5
1863-11-05,6
1863-12-02,7
1863-12-03,8
1863-12-24,7
1864-01-20,8
1864-02-11,7
1864-02-25,6
1864-04-16,7
1864-05-02,8
1864-05-05,9
1864-05-19,8
1864-05-26,7
1864-06-16,6
1864-07-25,7
1864-08-04,8
1864-09-08,9
1864-11-10,8
1864-11-24,7
1864-12-15,6
1865-01-12,5.5
1865-01-26,5
1865-03-02,4.5
1865-03-30,4
1865-05-04,4.5
1865-05-25,4
1865-06-01,3.5
1865-06-15,3
1865-07-27,3.5
1865-08-03,4
1865-09-28,4.5
1865-10-02,5
1865-10-05,6
1865-10-07,7
1865-11-23,6
1865-12-28,7
1866-01-04,8
1866-02-22,7
1866-03-15,6
1866-05-03,7
1866-05-08,8
1866-05-11,9
1866-05-12,10
1866-08-16,8
1866-08-23,7
1866-08-30,6
1866-09-06,5
1866-09-27,4.5
1866-11-08,4
1866-12-20,3.5
1867-02-07,3
1867-05-30,2.5
1867-07-25,2
1868-11-19,2.5
1868-12-03,3
1869-04-01,4
1869-05-06,4.5
1869-06-10,4
1869-06-24,3.5
1869-07-15,3
1869-08-19,2.5
1869-11-04,3
1870-07-21,3.5
1870-07-23,4
1870-07-28,5
1870-08-04,6
1870-08-11,5.5
1870-08-18,4.5
1870-08-25,4
1870-09-01,3.5
1870-09-15,3
1870-09-29,2.5
1871-03-02,3
1871-04-13,2.5
1871-06-15,2.25
1871-07-13,2
1871-09-21,3
1871-09-28,4
1871-10-07,5
1871-11-16,4
1871-11-30,3.5
1871-12-14,3
1872-04-04,3.5
1872-04-11,4
1872-05-09,5
1872-05-30,4
1872-06-13,3.5
1872-06-20,3
1872-07-18,3.5
1872-09-18,4
1872-09-26,4.5
1872-10-03,5
1872-10-10,6
1872-11-09,7
1872-11-28,6
1872-12-12,5
1873-01-09,4.5
1873-01-23,4
1873-01-30,3.5
1873-03-26,4
1873-05-07,4.5
1873-05-10,5
1873-05-17,6
1873-06-04,7
1873-06-12,6
1873-07-10,5
1873-07-17,4.5
1873-07-24,4
1873-07-31,3.5
1873-08-21,3
1873-09-25,4
1873-09-29,5
1873-10-14,6
1873-10-18,7
1873-11-01,8
1873-11-07,9
1873-11-20,8
1873-11-27,6
1873-12-04,5
1873-12-11,4.5
1874-01-08,4
1874-01-15,3.5
1874-04-30,4
1874-05-28,3.5
1874-06-04,3
1874-06-18,2.5
1874-07-30,3
1874-08-06,4
1874-08-20,3.5
1874-08-27,3
1874-10-15,4
1874-11-16,5
1874-11-30,6
1875-01-07,5
1875-01-14,4
1875-01-28,3
1875-02-18,3.5
1875-07-08,3
1875-07-29,2.5
1875-08-12,2
1875-10-07,2.5
1875-10-14,3.5
1875-10-21,4
1875-11-18,3
1875-12-30,4
1876-01-06,5
1876-01-27,4
1876-03-23,3.5
1876-04-06,3
1876-04-20,2
1877-05-03,3
1877-07-05,2.5
1877-07-12,2
1877-08-28,3
1877-10-04,4
1877-10-11,5
1877-11-29,4
1878-01-10,3
1878-01-31,2
1878-03-28,3
1878-05-30,2.5
1878-06-27,3
1878-07-04,3.2
1878-08-01,4
1878-08-12,5
1878-10-14,6
1878-11-21,5
1879-01-16,4
1879-01-30,3
1879-03-13,2.5
1879-04-10,2
1879-11-06,3
1880-06-17,2.5
1880-12-09,3
1881-01-13,3.5
1881-02-17,3
1881-04-28,2.5
1881-08-18,3
1881-08-25,4
1881-10-06,5
1882-01-30,6
1882-02-23,5
1882-03-09,4
1882-03-23,3
1882-08-17,4
1882-09-14,5
1883-01-25,4
1883-02-15,3.5
1883-03-01,3
1883-05-10,4
1883-09-13,3.5
1883-09-27,3
1884-02-07,3.5
1884-03-13,3
1884-04-03,2.5
1884-06-19,2
1884-10-09,3
1884-10-30,4
1884-11-06,5
1885-01-29,4
1885-03-19,3.5
1885-05-07,3
1885-05-14,2.5
1885-05-28,2
1885-11-12,3
1885-12-17,4
1886-01-21,3
1886-02-18,2
1886-05-06,3
1886-06-10,2.5
1886-08-26,3.5
1886-10-21,4
1886-12-16,5
1887-02-03,4
1887-03-10,3.5
1887-03-24,3
1887-04-14,2.5
1887-04-28,2
1887-08-04,3
1887-09-01,4
1888-01-12,3.5
1888-01-19,3
1888-02-16,2.5
1888-03-15,2
1888-05-10,3
1888-06-07,2.5
1888-08-09,3
1888-09-13,4
1888-10-04,5
1889-01-10,4
1889-01-24,3.5
1889-01-31,3
1889-04-18,2.5
1889-08-08,3
1889-08-29,4
1889-09-26,5
1889-12-30,6
1890-01-20,5
1890-03-06,4.5
1890-03-13,4
1890-04-10,3.5
1890-04-17,3
1890-06-26,4
1890-07-31,5
1890-08-21,4
1890-09-25,5
1890-11-07,6
1890-12-04,5
1891-01-08,4
1891-01-22,3.5
1891-01-29,3
1891-04-16,3.5
1891-05-07,4
1891-05-14,5
1891-06-04,4
1891-06-18,3
1891-07-02,2.5
1891-09-24,3
1891-10-29,4
1891-12-10,3.5
1892-01-21,3
1892-04-07,2.5
1892-04-28,2
1892-10-20,3
1893-01-26,2.5
1893-05-04,3
1893-05-11,3.5
1893-05-18,4
1893-06-08,3
1893-06-15,2.5
1893-08-03,3
1893-08-10,4
1893-08-24,5
1893-09-14,4
1893-09-21,3.5
1893-10-05,3
1894-02-01,2.5
1894-02-22,2
1896-09-10,2.5
1896-09-24,3
1896-10-22,4
1897-01-21,3.5
1897-02-04,3
1897-04-08,2.5
1897-05-13,2
1897-09-23,2.5
1897-10-14,3
1898-04-06,4
1898-05-25,3.5
1898-06-02,3
1898-06-30,2.5
1898-09-22,3
1898-10-13,4
1899-01-19,3.5
1899-02-02,3
1899-07-13,3.5
1899-10-03,4.5
1899-10-05,5
1899-11-30,6
11/01/1900,5
18/01/1900,4.5
25/01/1900,4
24/05/1900,3.5
14/06/1900,3
19/07/1900,4
03/01/1901,5
07/02/1901,4.5
21/02/1901,4
06/06/1901,3.5
13/06/1901,3
21/10/1901,4
23/01/1902,3.5
06/02/1902,3
02/10/1902,4
21/05/1903,3.5
18/06/1903,3
03/09/1903,4
14/04/1904,3.5
21/04/1904,3
09/03/1905,2.5
07/09/1905,3
28/09/1905,4
05/04/1906,3.5
03/05/1906,4
21/06/1906,3.5
13/09/1906,4
11/10/1906,5
19/10/1906,6
17/01/1907,5
11/04/1907,4.5
25/04/1907,4
15/08/1907,4.5
31/10/1907,5.5
04/11/1907,6
07/11/1907,7
02/01/1908,6
16/01/1908,5
23/01/1908,4
05/03/1908,3.5
19/03/1908,3
28/05/1908,2.5
14/01/1909,3
01/04/1909,2.5
07/10/1909,3
14/10/1909,4
21/10/1909,5
09/12/1909,4.5
06/01/1910,4
20/01/1910,3.5
10/02/1910,3
17/03/1910,4
02/06/1910,3.5
09/06/1910,3
29/09/1910,4
20/10/1910,5
01/12/1910,4.5
26/01/1911,4
16/02/1911,3.5
09/03/1911,3
21/09/1911,4
08/02/1912,3.5
09/05/1912,3
29/08/1912,4
17/10/1912,5
17/04/1913,4.5
01/10/1913,5
08/01/1914,4.5
22/01/1914,4
29/01/1914,3
30/07/1914,4
31/07/1914,8
01/08/1914,10
06/08/1914,6
08/08/1914,5
13/07/1916,6
18/01/1917,5.5
05/04/1917,5
06/11/1919,6
15/04/1920,7
28/04/1921,6.5
23/06/1921,6
21/07/1921,5.5
03/11/1921,5
16/02/1922,4.5
13/04/1922,4
15/06/1922,3.5
13/07/1922,3
05/07/1923,4
05/03/1925,5
06/08/1925,4.5
01/10/1925,4
03/12/1925,5
21/04/1927,4.5
07/02/1929,5.5
26/09/1929,6.5
31/10/1929,6
21/11/1929,5.5
12/12/1929,5
06/02/1930,4.5
06/03/1930,4
20/03/1930,3.5
01/05/1930,3
14/05/1931,2.5
23/07/1931,3.5
30/07/1931,4.5
21/09/1931,6
18/02/1932,5
10/03/1932,4
17/03/1932,3.5
21/04/1932,3
12/05/1932,2.5
30/06/1932,2
24/08/1939,4
28/09/1939,3
26/10/1939,2
08/11/1951,2.5
11/03/1952,4
17/09/1953,3.5
13/05/1954,3
27/01/1955,3.5
24/02/1955,4.5
16/02/1956,5.5
07/02/1957,5
19/09/1957,7
20/03/1958,6
22/05/1958,5.5
19/06/1958,5
14/08/1958,4.5
20/11/1958,4
21/01/1960,5
23/06/1960,6
27/10/1960,5.5
08/12/1960,5
26/07/1961,7
05/10/1961,6.5
02/11/1961,6
08/03/1962,5.5
22/03/1962,5
26/04/1962,4.5
03/01/1963,4
27/02/1964,5
23/11/1964,7
03/06/1965,6
14/07/1966,7
26/01/1967,6.5
16/03/1967,6
04/05/1967,5.5
19/10/1967,6
09/11/1967,6.5
18/11/1967,8
21/03/1968,7.5
19/09/1968,7
27/02/1969,8
05/03/1970,7.5
15/04/1970,7
01/04/1971,6
02/09/1971,5
22/06/1972,6
16/10/1972,7.25
30/10/1972,7.5
04/12/1972,7.75
11/12/1972,8
27/12/1972,9
22/01/1973,8.75
26/03/1973,8.5
16/04/1973,8
24/04/1973,8.25
14/05/1973,8
21/05/1973,7.75
25/06/1973,7.5
23/07/1973,9
30/07/1973,11.5
22/10/1973,11.25
13/11/1973,13
07/01/1974,12.75
04/02/1974,12.5
08/04/1974,12.25
16/04/1974,12
28/05/1974,11.75
23/09/1974,11.5
20/01/1975,11.25
27/01/1975,11
10/02/1975,10.78
17/02/1975,10.5
10/03/1975,10.25
24/03/1975,10
21/04/1975,9.75
05/05/1975,10
28/07/1975,11
06/10/1975,12
17/11/1975,11.75
01/12/1975,11.5
29/12/1975,11.25
05/01/1976,11
19/01/1976,10.75
26/01/1976,10.5
02/02/1976,10
09/02/1976,9.5
01/03/1976,9.25
08/03/1976,9
26/04/1976,10.5
24/05/1976,11.5
13/09/1976,13
07/10/1976,15
22/11/1976,14.75
20/12/1976,14.5
29/12/1976,14.25
10/01/1977,14
24/01/1977,13.25
31/01/1977,12.25
03/02/1977,12
10/03/1977,11
21/03/1977,10.5
31/03/1977,9.5
12/04/1977,9.25
18/04/1977,9
25/04/1977,8.75
02/05/1977,8.25
16/05/1977,8
08/08/1977,7.5
15/08/1977,7
12/09/1977,6.5
19/09/1977,6
10/10/1977,5.5
17/10/1977,5
28/11/1977,7
09/01/1978,6.5
12/04/1978,7.5
08/05/1978,8.75
15/05/1978,9
08/06/1978,10
09/11/1978,12.5
08/02/1979,14
01/03/1979,13
05/04/1979,12
13/06/1979,14
15/11/1979,17
03/07/1980,16
25/11/1980,14
11/03/1981,12
25/08/1981,12.6875
15/09/1981,14
12/10/1981,15
28/10/1981,15.125
06/11/1981,15.0625
09/11/1981,14.625
25/11/1981,14.5625
04/12/1981,14.375
18/01/1982,14.3125
19/01/1982,14.25
20/01/1982,14.125
21/01/1982,14
22/01/1982,13.875
22/02/1982,13.8125
25/02/1982,13.625
10/03/1982,13.25
16/04/1982,13.125
19/04/1982,13
20/04/1982,13.125
08/06/1982,12.625
09/07/1982,12.5
12/07/1982,12.25
13/07/1982,12.125
21/07/1982,12.0625
26/07/1982,11.9375
28/07/1982,11.8125
29/07/1982,11.75
30/07/1982,11.625
02/08/1982,11.5625
04/08/1982,11.5
16/08/1982,11.375
17/08/1982,11.25
24/08/1982,11.125
25/08/1982,11
26/08/1982,10.875
27/08/1982,10.625
27/09/1982,10.5
28/09/1982,10.375
29/09/1982,10.25
30/09/1982,10.125
12/10/1982,9.625
01/11/1982,9.375
02/11/1982,9.125
26/11/1982,10
12/01/1983,11
15/03/1983,10.5625
13/04/1983,10.3125
14/04/1983,10.0625
13/06/1983,9.8125
14/06/1983,9.5625
09/08/1983,9.4375
10/08/1983,9.5625
03/10/1983,9.0625
07/03/1984,8.8125
14/03/1984,8.5625
10/05/1984,9.0625
29/06/1984,8.875
06/07/1984,10
11/07/1984,12
08/08/1984,11.5
09/08/1984,11
16/08/1984,10.75
17/08/1984,10.5
05/11/1984,10
19/11/1984,9.75
23/11/1984,9.5
14/01/1985,11.875
28/01/1985,13.875
20/03/1985,13.375
28/03/1985,12.875
19/04/1985,12.375
11/07/1985,11.875
26/07/1985,11.375
15/01/1986,12.375
19/03/1986,11.375
11/04/1986,10.875
18/04/1986,10.375
23/05/1986,9.785
15/10/1986,10.875
09/03/1987,10.375
18/03/1987,9.875
28/04/1987,9.375
08/05/1987,8.875
06/08/1987,9.875
23/10/1987,9.375
04/11/1987,8.875
03/12/1987,8.375
01/02/1988,8.875
17/03/1988,8.375
08/04/1988,7.875
17/05/1988,7.375
03/06/1988,7.875
10/06/1988,8.375
24/06/1988,8.875
07/07/1988,9.875
21/07/1988,10.375
08/08/1988,10.875
25/08/1988,11.875
25/11/1988,12.875
25/05/1989,13.75
31/08/1989,13.8438
04/09/1989,13.875
08/09/1989,13.75
06/10/1989,14.785
08/10/1990,13.875
13/02/1991,13.375
27/02/1991,12.875
22/03/1991,12.375
12/04/1991,11.875
24/05/1991,11.375
12/07/1991,10.875
04/09/1991,10.375
05/05/1992,9.875
22/09/1992,8.875
16/10/1992,7.875
13/11/1992,6.875
26/01/1993,5.875
23/11/1993,5.375
08/02/1994,5.125
13/09/1994,5.625
07/12/1994,6.125
02/02/1995,6.625
13/12/1995,6.375
19/01/1996,6.125
08/03/1996,5.9375
06/06/1996,5.6875
30/10/1996,5.9375
06/05/1997,6.25
06/06/1997,6.5
10/07/1997,6.75
07/08/1997,7
06/11/1997,7.25
04/06/1998,7.5
08/10/1998,7.25
05/11/1998,6.75
10/12/1998,6.25
07/01/1999,6
04/02/1999,5.5
08/04/1999,5.25
10/06/1999,5
08/09/1999,5.25
04/11/1999,5.5
13/01/2000,5.75
10/02/2000,6
08/02/2001,5.75
05/04/2001,5.5
10/05/2001,5.25
02/08/2001,5
18/09/2001,4.75
04/10/2001,4.5
08/11/2001,4
06/02/2003,3.75
10/07/2003,3.5
06/11/2003,3.75
05/02/2004,4
06/05/2004,4.25
10/06/2004,4.5
05/08/2004,4.75
04/08/2005,4.5
03/08/2006,4.75
09/11/2006,5
11/01/2007,5.25
10/05/2007,5.5
05/07/2007,5.75
06/12/2007,5.5
07/02/2008,5.25
10/04/2008,5
08/10/2008,4.5
06/11/2008,3
04/12/2008,2
08/01/2009,1.5
05/02/2009,1
05/03/2009,0.5
08/01/2010,0.5
05/02/2010,0.5
05/03/2010,0.5
08/01/2011,0.5
05/02/2011,0.5
05/03/2011,0.5
08/01/2012,0.5
05/02/2012,0.5
05/03/2012,0.5
08/01/2013,0.5
05/02/2013,0.5
05/03/2013,0.5
08/01/2014,0.5
05/02/2014,0.5
05/03/2014,0.5
08/01/2015,0.5
05/02/2015,0.5
05/03/2015,0.5
04/08/2016,0.25
02/11/2017,0.5
02/08/2018,0.75
11/03/2020,0.25
19/03/2020,0.1
16/12/2021,0.25
03/02/2022,0.5
03/11/2022,3
04/08/2022,1.75
05/05/2022,1
15/12/2022,3.5
16/06/2022,1.25
17/03/2022,0.75
22/09/2022,2.25
02/02/2023,4
03/08/2023,5.25
11/05/2023,4.5
22/06/2023,5
23/03/2023,4.25
01/08/2024,5
07/11/2024,4.75
06/02/2025,4.5
08/05/2025,4.25
10/11/2025,4
